selection_id,selection_group,pair_id,source_file,source_row,instance_id,repository,model_name,target,exit_status,issue_title,message_count,ai_turns,valid_cycles,length_band,complete_cycle_ratio,mean_thought_chars,action_categories,patch_chars,eval_log_chars,quality_score,selection_reason
CASE-0001,paired,P01,train-00011-of-00012.jsonl,3144,nipy__nipype-3325,nipy__nipype,swe-agent-llama-405b,True,submitted (exit_context),"fsl randomise f_only flag contains typo, can't work",85,42,40,40+,0.952381,269.75,edit|inspect|other|run|test,1055,1951,96.993,matched success/failure trajectory for the same task and model
CASE-0002,paired,P01,train-00011-of-00012.jsonl,3179,nipy__nipype-3325,nipy__nipype,swe-agent-llama-405b,False,submitted (exit_context),"fsl randomise f_only flag contains typo, can't work",167,83,82,40+,0.987952,315.68,edit|inspect|other|run,867,1839,90.839,matched success/failure trajectory for the same task and model
CASE-0003,paired,P02,train-00000-of-00012.jsonl,962,ppizarror__pygame-menu-357,ppizarror__pygame-menu,swe-agent-llama-405b,True,submitted,RangeSlider assertion error when modifying minimum range value,45,22,21,20-39,0.954545,285.48,edit|inspect|other|run|test,1058,3609,87.975,matched success/failure trajectory for the same task and model
CASE-0004,paired,P02,train-00000-of-00012.jsonl,928,ppizarror__pygame-menu-357,ppizarror__pygame-menu,swe-agent-llama-405b,False,submitted (exit_context),RangeSlider assertion error when modifying minimum range value,93,46,45,40+,0.978261,162.44,edit|inspect|other|run|test,2263,2866,94.315,matched success/failure trajectory for the same task and model
CASE-0005,paired,P03,train-00001-of-00012.jsonl,4281,3YOURMIND__django-migration-linter-258,3YOURMIND__django-migration-linter,swe-agent-llama-405b,True,submitted (exit_context),Adding an index with a NOT NULL condition incorrectly triggers NOT_NULL rule,161,80,79,40+,0.9875,245.95,edit|inspect|test,7669,5951,90.84,matched success/failure trajectory for the same task and model
CASE-0006,paired,P03,train-00001-of-00012.jsonl,4299,3YOURMIND__django-migration-linter-258,3YOURMIND__django-migration-linter,swe-agent-llama-405b,False,submitted (exit_context),Adding an index with a NOT NULL condition incorrectly triggers NOT_NULL rule,93,46,45,40+,0.978261,311.84,edit|inspect|other|run,867,5178,92.584,matched success/failure trajectory for the same task and model
CASE-0007,paired,P04,train-00008-of-00012.jsonl,2826,pydantic__pydantic-3642,pydantic__pydantic,swe-agent-llama-405b,True,submitted,copy_on_model_validation config doesn't copy List field anymore in v1.9.0,33,16,15,10-19,0.9375,272.0,edit|inspect|other|run,614,12382,78.334,matched success/failure trajectory for the same task and model
CASE-0008,paired,P04,train-00008-of-00012.jsonl,2806,pydantic__pydantic-3642,pydantic__pydantic,swe-agent-llama-405b,False,submitted (exit_context),copy_on_model_validation config doesn't copy List field anymore in v1.9.0,83,41,40,40+,0.97561,381.7,edit|inspect|other|run|test,499,12413,99.634,matched success/failure trajectory for the same task and model
CASE-0009,paired,P05,train-00001-of-00012.jsonl,1877,bids-standard__pybids-492,bids-standard__pybids,swe-agent-llama-405b,True,submitted,layout.get doesn't find any entities when passed a numpy.int64 value for run,51,25,24,20-39,0.96,413.04,edit|inspect|other|run,1971,4380,85.4,matched success/failure trajectory for the same task and model
CASE-0010,paired,P05,train-00001-of-00012.jsonl,1835,bids-standard__pybids-492,bids-standard__pybids,swe-agent-llama-405b,False,submitted (exit_context),layout.get doesn't find any entities when passed a numpy.int64 value for run,95,47,46,40+,0.978723,319.74,edit|inspect|other|run,1756,4404,92.816,matched success/failure trajectory for the same task and model
CASE-0011,paired,P06,train-00000-of-00012.jsonl,3175,oasis-open__cti-python-stix2-454,oasis-open__cti-python-stix2,swe-agent-llama-405b,True,submitted,AST make_constant() function doesn't make timestamp constants,27,13,12,10-19,0.923077,255.58,edit|inspect|other|run|test,612,15648,80.148,matched success/failure trajectory for the same task and model
CASE-0012,paired,P06,train-00000-of-00012.jsonl,3200,oasis-open__cti-python-stix2-454,oasis-open__cti-python-stix2,swe-agent-llama-405b,False,submitted (exit_context),AST make_constant() function doesn't make timestamp constants,89,44,43,40+,0.977273,392.95,edit|inspect|other|run,278,15580,93.659,matched success/failure trajectory for the same task and model
CASE-0013,paired,P07,train-00002-of-00012.jsonl,2899,pydantic__pydantic-4884,pydantic__pydantic,swe-agent-llama-405b,True,submitted (exit_context),Pydantic doesn't properly parses models with custom root into custom root models,71,35,34,20-39,0.971429,268.79,edit|inspect|run,1073,2796,86.251,matched success/failure trajectory for the same task and model
